category,item,status,evidence,notes
Skill existence,Skill directory exists,Pass,skills/adas-homologation-scenario-workflow/,Required path created
Skill existence,SKILL.md exists,Pass,skills/adas-homologation-scenario-workflow/SKILL.md,Required file created
Skill existence,Skill README exists,Pass,skills/adas-homologation-scenario-workflow/README.md,Explains positioning and repository relationship
Skill structure,Examples exist,Pass,skills/adas-homologation-scenario-workflow/examples/,Contains example_skill_task.md and example_agent_response_outline.md
Skill structure,Checklists exist,Pass,skills/adas-homologation-scenario-workflow/checklists/,Contains compliance/external/demo workflow checklists
Skill structure,Templates exist,Pass,skills/adas-homologation-scenario-workflow/templates/,Contains interview summary and workflow audit templates
Required sections,SKILL.md includes 20 requested sections,Pass,skills/adas-homologation-scenario-workflow/SKILL.md,Automated heading check passed
Capability accuracy,References current repository docs,Pass,"README.md; docs/methodology.md; docs/upstream_integration_workflow.md; docs/demo_walkthrough.md",No new unsupported process invented
Capability accuracy,References current tools accurately,Pass,tools/*.py,Claims limited to existing script behavior
Capability accuracy,References mapping fields,Pass,scenario_map/field_definition.md,Mapping workflow uses existing field definitions
Capability accuracy,References templates,Pass,templates/,Skill instructs future agents to use existing project templates
Third-party boundary,Uses manifest for upstream decisions,Pass,third_party_manifest.yaml,Manifest is named as first source for external boundary checks
Third-party boundary,No third-party source copied,Pass,git status and new skill content,Only original guidance/checklists/templates added
Third-party boundary,No scenario library copied,Pass,skills/ directory contents,No upstream .xosc/.xodr/catalog files added
Third-party boundary,No simulator binary copied,Pass,skills/ directory contents,esmini is external only
Third-party boundary,No standards or schema package copied,Pass,SKILL.md validation section,XSD must be user supplied
Execution safety,Dry-run default stated,Pass,SKILL.md esmini section,--execute requires explicit user request
Output discipline,/tmp output default stated,Pass,SKILL.md common commands and workflow,Prevents reports/log pollution
Evidence discipline,Evidence classes stated,Pass,SKILL.md and report template,Uses synthetic/external metadata/official evidence
Bilingual requirement,English-first with Chinese auxiliary notes,Pass,SKILL.md and README,Chinese notes included without replacing English workflow
README sync,Root README references skill path,Pass,README.md,English and Chinese sections updated
Future agent usability,Skill gives workflow and commands,Pass,SKILL.md,Readable by future Codex agents
Portfolio suitability,Interview report template exists,Pass,skills/adas-homologation-scenario-workflow/templates/interview_project_summary_template.md,Includes capabilities/limitations/evidence classification
Audit result,Self-audit completed,Pass,SKILL_AUDIT_REPORT.md,Final verdict Ready to publish
Validation,Python syntax check passed,Pass,tools/*.py,AST parse succeeded for 5 files
Validation,Scenario index command passed,Pass,/tmp/adas_skill_validation/scenario_index,Indexed 1 file
Validation,XOSC parameter extraction passed,Pass,/tmp/adas_skill_validation/xosc_parameter_summary.csv,Processed 1 file
Validation,XOSC/XML validation passed,Pass,/tmp/adas_skill_validation/validation,Validated 1 file
Validation,esmini dry-run passed,Pass,/tmp/adas_skill_validation/run_plan.md,Prepared 2 commands
Validation,Result summary passed,Pass,/tmp/adas_skill_validation/result_summary,Merged 2 result rows
Workspace hygiene,No pycache generated,Pass,find . -name __pycache__ -o -name '*.pyc',No matches
Workspace hygiene,No reports/logs generated in repo,Pass,git status --short --ignored,Only intended source/doc changes listed
